GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
19/6/2017,18.3.4.28,Jesús Gámez,1501035,796,10-Apr-85,32,0,0,4,2,5509,6800,6500,150,120,6074673,182,77,D/WB RL,4,2,3,1,4,2,2,2,3,1,3,5,11,11,5,12,5,11,7,12,12,12,7,13,14,12,13,13,14,13,10,13,12,6,12,13,13,14,12,11,12,13,12,12,12,12,20,12,12,13,8,12,16,10,6,16,15,11,12,12,8,5,20,18,1,1,20,16,1,D/WB RL,115,1,1,1,1,1,1,1,16,20,1,1,1,1,15,18,154618822688,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Matt Lowton,152936,765,09-Jun-89,28,0,0,0,0,4750,6650,6650,135,133,26534260,181,78,D/WB R,3,3,3,1,1,3,1,3,1,1,1,6,13,12,8,13,6,14,12,7,14,13,6,14,13,13,14,13,16,14,11,12,17,10,8,12,14,16,16,14,15,12,11,6,14,13,20,14,13,14,9,13,8,11,10,13,14,8,9,11,11,7,20,18,10,1,20,1,13,D/WB R,112,1,1,1,1,1,1,13,1,20,1,7,1,10,1,18,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Kyle Naughton,152937,765,17-Nov-88,28,0,0,9,0,5500,6350,6700,135,127,26931133,180,73,D/WB/M RL,3,1,3,3,3,3,3,2,3,2,1,6,11,10,5,13,7,10,12,10,11,11,5,12,12,8,12,11,15,11,10,11,14,11,8,11,12,14,13,14,14,13,10,12,18,14,20,15,11,12,9,12,5,14,12,15,18,14,16,16,13,4,20,18,16,1,20,15,5,D/WB/M RL,125,1,1,1,1,1,1,1,15,20,1,5,5,16,13,18,1125899906843200,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Chancel Mbemba,18057323,53,08-Aug-94,22,25,1,0,0,5250,6750,6800,145,132,49225584,182,80,D RLC,3,1,2,2,1,2,1,2,2,2,1,4,10,12,8,12,4,14,10,4,13,12,7,15,13,10,13,14,14,12,8,11,13,10,10,11,15,15,15,15,11,14,13,8,14,15,20,14,14,12,8,13,6,14,14,12,12,14,14,14,16,5,20,1,1,1,17,15,20,D RLC,106,1,1,1,1,1,1,20,15,17,13,1,1,1,1,1,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Danilo,19099575,1651,15-Jul-91,25,15,0,15,2,7000,7500,7250,152,150,44013283,184,78,D/WB RL,2,2,2,3,2,2,3,4,1,2,2,11,13,12,11,12,10,10,13,13,12,12,12,15,13,14,12,14,11,13,10,10,15,14,10,14,11,13,16,13,12,13,12,16,15,17,20,17,14,12,14,12,9,14,12,15,13,12,16,12,12,8,20,18,9,1,20,16,9,D/WB RL,115,1,1,1,1,1,1,1,16,20,11,9,1,9,15,18,288230376285929504,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Emerson,19158043,776,13-Mar-94,23,0,0,0,0,5000,6750,7250,158,145,64378562,176,77,D RL,3,4,3,2,4,2,2,4,1,2,2,12,15,16,7,16,10,9,14,10,12,13,4,14,15,11,13,12,12,12,12,13,14,14,5,15,12,13,14,16,15,15,9,20,13,16,10,14,13,13,11,9,5,13,8,12,13,10,14,13,12,9,20,15,14,1,15,20,10,D RL,105,1,1,1,1,1,1,1,20,15,1,10,14,10,15,12,1100182716673,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Craig Cathcart,28000905,785,06-Feb-89,28,33,2,15,0,5750,6550,6600,138,135,26976197,188,73,D RC,2,1,1,1,2,1,1,3,2,2,1,3,4,8,10,12,4,15,4,7,14,12,4,16,12,11,14,13,14,14,8,15,16,5,11,11,14,13,14,11,9,13,15,13,15,12,20,15,13,15,6,13,13,8,9,12,15,13,18,17,17,3,20,1,1,1,15,9,20,D RC,103,1,1,1,1,1,1,20,9,15,1,1,1,1,1,1,274877939712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Joel Ward,28004100,765,29-Oct-89,27,0,0,0,0,5400,6650,6600,136,129,20559807,188,83,D RL,2,2,1,4,1,1,2,2,2,1,3,5,16,10,5,10,5,13,8,5,13,12,5,15,11,16,14,16,12,13,9,13,18,5,10,13,13,17,15,13,13,12,13,10,17,12,20,15,13,15,1,10,6,15,14,12,12,9,13,10,13,1,20,10,10,10,20,15,10,D RL,105,1,1,1,1,1,10,10,15,20,1,10,1,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Kyle Walker,28009441,765,28-May-90,27,27,0,7,0,7000,7750,7750,157,154,72250405,182,80,D/WB R,1,2,1,3,2,1,2,3,1,2,3,11,13,13,7,12,12,14,7,13,12,13,6,13,13,12,13,15,13,13,11,9,13,10,12,13,12,15,16,18,15,15,12,10,13,18,20,15,15,14,5,12,6,14,19,15,14,7,8,12,11,7,20,18,5,5,20,10,12,D/WB R,112,1,1,1,1,1,5,12,10,20,1,1,1,5,1,18,134217760,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Martin Kelly,28010835,765,27-Apr-90,27,1,0,8,3,4900,6500,6250,130,125,13042350,191,78,D RC,2,2,1,3,2,1,1,2,3,2,2,4,8,8,10,12,5,12,2,6,11,12,5,14,12,13,12,16,12,14,13,13,14,5,10,10,14,11,16,12,13,13,13,11,10,13,20,15,14,7,17,11,14,13,16,12,14,12,14,14,12,5,20,14,1,1,20,10,16,D RC,103,1,1,1,1,1,1,16,10,20,1,1,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Adam Smith,28011401,765,29-Apr-91,26,0,0,11,0,4900,6450,6650,139,133,26534260,180,79,D R,2,1,2,1,1,3,2,2,1,3,3,6,13,15,7,13,6,8,11,3,12,14,2,15,13,10,14,13,13,12,13,13,14,9,10,13,14,14,16,14,14,12,7,8,17,16,20,15,13,15,10,14,5,12,12,14,8,11,15,13,11,2,20,13,10,7,20,13,1,D R,102,1,1,1,1,1,7,1,13,20,1,1,1,10,1,13,2251799813685508,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Steve Cook,28014634,765,19-Apr-91,26,0,0,0,0,5100,6800,6800,148,140,33727050,186,82,D RC,2,4,1,2,1,3,2,3,3,4,1,6,9,8,8,12,6,14,6,14,14,14,1,16,14,9,14,13,14,13,12,14,14,6,14,7,14,13,16,14,13,13,14,11,16,14,20,15,14,14,6,13,2,12,12,14,13,12,13,16,11,8,20,1,1,1,17,1,20,D RC,103,1,1,1,1,1,1,20,1,17,1,1,1,1,1,1,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Kieran Trippier,28018613,765,19-Sep-90,26,1,0,2,0,5750,7050,7050,146,142,22121658,178,72,D/WB R,2,3,1,3,1,3,3,3,3,1,3,11,16,11,8,15,13,9,10,10,11,13,5,14,14,12,13,13,13,12,13,14,14,8,11,14,13,16,16,13,13,14,9,6,14,14,20,18,13,14,8,10,7,13,11,12,12,13,14,14,14,4,20,17,13,1,20,1,1,D/WB R,112,1,1,1,1,1,1,1,1,20,1,1,1,13,1,17,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Nathaniel Clyne,28019851,765,05-Apr-91,26,14,0,8,0,6250,7400,7550,154,151,58295551,176,67,D/WB R,2,3,1,2,3,4,3,1,3,3,3,3,10,13,6,14,3,9,8,9,14,14,5,16,13,13,13,14,13,13,11,14,14,10,9,15,14,17,16,16,15,14,8,8,18,16,20,17,13,17,8,15,8,12,14,15,15,15,15,12,14,7,20,19,1,1,20,14,1,D/WB R,112,1,1,1,1,1,1,1,14,20,1,1,1,1,13,19,2252899459530786,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Tommy Smith,28047506,765,14-Apr-92,25,0,0,0,0,4750,6500,6500,140,130,22147819,186,75,D RC,1,3,3,2,2,3,3,3,3,1,3,4,13,13,7,12,5,13,7,11,12,12,4,13,12,11,13,13,12,12,13,12,13,11,18,12,14,16,15,13,12,11,13,10,17,13,20,16,14,14,6,14,1,15,8,12,13,5,16,15,18,5,20,1,1,1,20,13,16,D RC,103,1,1,1,1,1,1,16,13,20,1,1,1,1,1,1,1048608,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Michael Keane,28047558,765,11-Jan-93,24,2,0,16,3,5900,7350,7250,155,140,52569320,186,83,D RC,1,1,1,1,1,3,2,1,1,2,2,5,8,8,8,12,5,14,5,12,14,12,5,14,13,13,14,14,14,13,10,13,17,8,12,10,14,15,13,14,14,12,14,13,14,13,20,13,15,12,8,12,11,10,10,15,14,14,16,16,14,5,20,1,13,1,17,1,20,D RC,103,1,1,1,1,1,1,20,1,17,1,13,1,10,1,1,279172874240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Sam Byram,28059134,765,16-Sep-93,23,0,0,0,0,4250,6250,6250,145,124,16313227,181,73,D/M R,3,2,4,3,3,2,2,2,3,2,2,5,14,12,11,14,3,13,8,13,12,13,5,12,13,11,13,11,15,12,12,10,11,12,9,13,14,14,15,13,12,13,11,10,14,13,20,14,10,14,8,10,15,13,13,11,12,12,11,12,12,2,20,14,18,15,20,1,1,D/M R,112,1,1,1,1,1,15,1,1,20,1,1,1,18,1,14,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,John Stones,28060397,765,28-May-94,23,18,0,12,0,6750,7850,7850,172,155,138755427,188,70,D RC,2,2,1,4,2,4,3,3,4,1,3,5,11,13,8,13,5,15,5,8,15,15,12,15,14,10,14,16,17,15,14,13,13,12,13,15,14,13,15,14,13,16,14,12,19,15,20,13,15,15,8,12,5,10,12,20,15,16,14,13,16,5,20,1,1,1,16,1,20,D RC,103,1,1,1,1,1,1,20,1,16,1,1,1,1,1,1,1152921508901814272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Héctor Bellerín,28066082,796,19-Mar-95,22,3,0,12,0,6750,7250,7500,162,151,108585970,177,72,D/WB R,3,1,3,3,3,1,3,3,3,1,2,8,12,13,9,12,5,10,10,12,12,11,8,14,14,12,12,15,13,13,10,12,15,12,4,14,12,14,16,20,15,12,9,8,16,19,20,15,9,14,8,15,5,14,15,15,14,15,15,15,15,5,20,20,10,8,20,1,1,D/WB R,112,1,1,1,1,1,8,1,1,20,1,1,1,10,1,20,134217760,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Jonjoe Kenny,28090682,765,15-Mar-97,20,0,0,0,0,4250,5650,6100,132,122,17098216,176,64,D R,3,3,2,3,2,2,1,1,3,3,3,6,11,11,5,11,6,11,8,5,13,10,11,14,12,14,11,14,13,12,11,12,15,6,14,10,13,13,16,14,14,12,9,11,14,12,20,14,11,14,9,12,6,13,11,10,15,13,14,13,14,1,20,10,14,1,20,10,14,D R,102,1,1,1,1,1,1,14,10,20,14,14,1,7,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Ainsley Maitland-Niles,28095584,765,29-Aug-97,19,0,0,0,0,5250,6750,6750,149,130,58356008,177,0,D/WB/DM/M RLC,2,2,4,3,1,2,1,1,2,3,2,10,10,13,7,13,8,6,11,8,10,12,7,11,14,10,12,9,13,11,12,11,11,14,7,12,11,13,11,16,14,13,8,8,13,14,20,13,11,12,9,13,7,17,14,14,13,13,11,12,13,12,17,17,20,14,17,17,20,D/WB/DM/M RLC,446,1,1,1,8,10,14,8,17,17,16,20,12,14,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Trent Alexander-Arnold,28104124,765,07-Oct-98,18,0,0,0,0,5000,6600,6600,177,141,68321749,180,70,D/WB/DM/M RC,1,3,2,2,3,1,1,2,1,1,2,12,16,14,12,13,13,9,13,7,11,14,13,13,14,13,13,13,13,12,11,12,16,13,12,13,12,14,15,15,14,12,9,8,14,15,20,13,10,13,9,13,7,14,12,16,18,13,17,12,13,8,19,20,16,12,20,12,16,D/WB/DM/M RC,243,1,1,1,1,1,12,8,10,19,16,16,1,16,12,20,288230376151712290,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Dujon Sterling,28108034,765,24-Oct-99,17,0,0,0,0,2506,4511,3750,144,105,342279,179,73,D/WB/M/AM RC,3,2,1,2,4,1,1,1,3,2,2,4,7,6,9,6,9,6,9,9,6,5,6,7,7,14,9,11,9,7,7,8,2,12,4,7,7,9,11,17,11,9,9,10,9,16,20,15,11,10,9,4,8,10,20,13,10,10,10,9,20,8,20,18,16,18,20,11,16,D/WB/M/AM RC,133,1,1,12,1,1,18,16,11,20,1,1,1,16,1,18,134217728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Marc Albrighton,29010506,765,18-Nov-89,27,0,0,8,1,5100,6900,6900,142,137,27458989,174,68,WB/M/AM RL,2,1,1,3,3,3,2,2,3,2,4,15,15,12,11,13,12,5,10,7,8,13,10,12,12,14,12,14,12,16,14,10,13,12,7,13,14,17,18,14,13,11,6,8,15,13,20,15,9,10,10,13,5,11,11,12,15,10,16,16,17,3,11,17,20,17,19,20,4,WB/M/AM RL,435,1,1,5,4,17,17,1,10,11,1,1,20,19,15,17,150633093005442,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
19/6/2017,18.3.4.28,Molla Wagué,29023789,31,21-Feb-91,26,19,3,0,0,4494,6742,6100,135,122,4949284,191,87,D RC,3,2,3,3,1,3,3,2,3,1,4,3,6,6,8,8,6,16,6,5,14,7,6,15,9,13,12,15,13,13,6,12,13,6,8,8,13,14,14,13,10,14,16,5,13,14,20,14,15,13,13,13,10,8,15,14,13,13,15,12,13,6,20,1,1,1,15,1,20,D RC,103,1,1,5,1,1,1,20,1,15,1,1,1,1,1,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Calum Chambers,29076103,765,20-Jan-95,22,3,0,22,0,5800,6700,6700,150,134,37977717,183,73,D RC,3,1,1,3,2,2,3,2,3,3,2,6,11,10,9,13,7,14,8,12,15,12,8,15,13,13,13,13,14,12,11,11,14,9,10,10,13,15,14,12,12,15,15,10,14,13,20,15,14,14,7,11,10,16,14,12,14,12,13,13,13,8,20,14,10,1,18,8,20,D RC,103,1,1,1,1,1,1,20,8,18,14,10,1,10,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Joe Gomez,29115800,765,23-May-97,20,0,0,3,0,4600,6500,6500,163,142,42787941,188,87,D RLC,3,3,1,3,3,1,1,2,1,2,1,8,11,14,8,15,6,15,8,12,14,12,5,14,14,13,13,14,15,14,9,14,18,8,12,8,14,13,14,14,13,13,14,8,14,14,20,15,14,13,4,14,11,14,14,14,12,14,16,10,16,6,20,1,1,1,18,15,20,D RLC,106,1,1,1,1,1,1,20,15,18,1,1,1,1,1,1,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Kyle Walker-Peters,29126231,765,13-Apr-97,20,0,0,0,0,4300,6000,6000,129,120,12110110,174,64,D/WB RL,1,2,2,2,3,1,2,3,3,1,1,10,12,13,10,13,6,9,8,5,10,11,8,13,12,12,12,11,12,9,10,10,13,11,8,10,12,12,13,14,14,14,6,14,15,14,20,15,10,13,5,5,9,14,10,12,14,14,13,12,13,5,20,16,10,5,20,16,1,D/WB RL,115,1,1,11,1,5,1,1,16,20,1,1,10,1,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Mason Holgate,29128167,765,22-Oct-96,20,0,0,6,0,4750,6600,6600,142,130,43591214,181,64,D RC,3,2,2,3,2,1,3,1,3,3,1,5,9,9,5,11,6,13,5,7,13,12,8,14,15,13,11,13,14,10,11,13,13,9,8,9,14,13,13,14,15,13,13,9,15,16,20,15,13,13,8,11,2,12,9,16,8,15,12,13,12,5,20,1,10,1,19,1,20,D RC,103,1,1,1,1,1,1,20,1,19,14,10,1,1,1,1,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
