name,Market Value,current league
Petr Cech,£22.50m ,Premier League
Ross Turnbull,£1.35m ,Premier League
Henrique Hilário,£450Th. ,Premier League
Jamal Blackman, ,Premier League
David Luiz,£20.70m ,Premier League
Branislav Ivanovic,£18.90m ,Premier League
John Terry,£15.75m ,Premier League
Gary Cahill,£14.85m ,Premier League
Alex,£7.65m ,Premier League
Ashley Cole,£11.25m ,Premier League
Ryan Bertrand,£2.25m ,Premier League
Bosingwa,£4.50m ,Premier League
Paulo Ferreira,£900Th. ,Premier League
Michael Essien,£21.60m ,Premier League
John Mikel Obi,£17.10m ,Premier League
Oriol Romeu,£7.20m ,Premier League
Sam Hutchinson,- ,Premier League
Nathaniel Chalobah, ,Premier League
Ramires,£27.00m ,Premier League
Raúl Meireles,£13.50m ,Premier League
Frank Lampard,£4.95m ,Premier League
Josh McEachran,£4.05m ,Premier League
Juan Mata,£34.20m ,Premier League
Lucas Piazón,£6.75m ,Premier League
Salomon Kalou,£5.40m ,Premier League
Florent Malouda,£4.95m ,Premier League
Yossi Benayoun,£4.05m ,Premier League
Fernando Torres,£31.50m ,Premier League
Daniel Sturridge,£14.40m ,Premier League
Romelu Lukaku,£12.60m ,Premier League
Didier Drogba,£4.95m ,Premier League
Nicolas Anelka,£2.70m ,Premier League
Joe Hart,£21.15m ,Premier League
Costel Pantilimon,£3.15m ,Premier League
Stuart Taylor,£675Th. ,Premier League
Vincent Kompany,£31.50m ,Premier League
Joleon Lescott,£13.50m ,Premier League
Stefan Savic,£7.20m ,Premier League
Kolo Touré,£7.20m ,Premier League
Nedum Onuoha,£3.60m ,Premier League
Dedryck Boyata,£1.80m ,Premier League
Karim Rekik, ,Premier League
Gaël Clichy,£13.50m ,Premier League
Aleksandar Kolarov,£12.60m ,Premier League
Wayne Bridge,£1.80m ,Premier League
Razak Nuhu,£225Th. ,Premier League
Micah Richards,£16.65m ,Premier League
Pablo Zabaleta,£13.05m ,Premier League
Nigel de Jong,£11.70m ,Premier League
Gareth Barry,£9.00m ,Premier League
Michael Johnson,£1.35m ,Premier League
Owen Hargreaves,£900Th. ,Premier League
Yaya Touré,£32.85m ,Premier League
James Milner,£18.90m ,Premier League
David Pizarro,£2.70m ,Premier League
Abdul Razak, ,Premier League
David Silva,£45.00m ,Premier League
Samir Nasri,£22.50m ,Premier League
Denis Suárez, ,Premier League
Luca Scapuzzi,£90Th. ,Premier League
Joan Román, ,Premier League
Adam Johnson,£9.45m ,Premier League
Shaun Wright-Phillips,£3.15m ,Premier League
Carlos Tévez,£20.25m ,Premier League
Sergio Agüero,£45.90m ,Premier League
Mario Balotelli,£28.80m ,Premier League
Edin Dzeko,£26.10m ,Premier League
Emmanuel Adebayor,£22.50m ,Premier League
David de Gea,£15.75m ,Premier League
